year,international,financial_aid,enroll,allowed_return,petition,on_campus,location_off_campus,semesters_off,semester_off_plans,enroll_percent_1,enroll_percent_2,on_campus_percent_1,opinion_eligibility,opinion_precautions,percent_infected_1,address_concerns_1,address_concerns_2,address_concerns_3,address_concerns_4,address_concerns_5,address_concerns_6,support_financial_ai,rating_overall_1,other_school,other_school_23_TEXT
2024,Yes,Yes,Somewhat unlikely,,,Extremely likely,,Fall and Spring,Other,85,76,39,Don't know enough to say,Just right,10,,,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Agree with the policy,8,Don't know enough to say,
2022,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,Fall and Spring,Internship/Industry Work,50,40,30,"Number is just right, but it should be a different cohort in the Fall",Just right,0,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,2,Yale,
2022,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,40,30,0,Allows too few students back on campus,Too many precautionary measures taken,8,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,2,Yale,
2024,No,Yes,Extremely likely,,,Extremely unlikely,,,,70,90,35,"Number is just right, but it should be a different cohort in the Fall",Just right,10,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,7,MIT,
2024,No,No,Extremely likely,,,Extremely likely,,,,63,82,25,Allows too few students back on campus,Too many precautionary measures taken,13,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,3,Cornell,
2022,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,70,60,25,Allows too few students back on campus,Just right,5,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Stanford,
2024,No,Yes,Somewhat likely,,,Somewhat likely,,Fall only,Internship/Industry Work,80,40,30,Allows too many students back on campus,Just right,20,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,6,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,50,75,42,Allows too few students back on campus,Too many precautionary measures taken,20,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Cornell,
2022,No,No,Extremely likely,Extremely unlikely,No,,Other,,,45,60,30,Allows too few students back on campus,Too many precautionary measures taken,15,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,2,Other (please specify),Brown
2022,Yes,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Research,60,40,66,,Just right,30,,,,,,,,7,Don't know enough to say,
2023,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Family Home,Fall and Spring,Research,80,70,30,Just right,Just right,2,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",9,MIT,
2023,No,Yes,Somewhat unlikely,Somewhat unlikely,No,,Other,"Fall, and maybe Spring depending on policy",Research,79,60,50,Allows too few students back on campus,Too many precautionary measures taken,5,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Other (please specify),"BU, Amherst College, Williams College, WPI"
2024,No,Yes,Extremely likely,,,Extremely likely,,,,88,64,23,Allows too few students back on campus,Too many precautionary measures taken,18,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,3,Princeton,
2021,No,Prefer not to say,Extremely likely,Somewhat unlikely,Yes,,Living with Harvard friends,,,60,60,30,Allows too few students back on campus,Don't know enough to say,20,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Princeton,
2024,No,Yes,Extremely likely,,,Somewhat unlikely,,,,76,65,31,Allows too few students back on campus,Don't know enough to say,35,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Somewhat well,Agree with the policy,4,Stanford,
2024,No,No,Extremely likely,,,Somewhat likely,,,,50,70,85,Allows too few students back on campus,Too many precautionary measures taken,10,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,2,Cornell,
2021,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,30,20,60,Don't know enough to say,Don't know enough to say,4,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,3,Don't know enough to say,
2023,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,80,60,45,Allows too few students back on campus,Don't know enough to say,40,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Yale,
2021,No,Yes,Extremely likely,Somewhat unlikely,Yes,,Living with Harvard friends,,,50,50,40,"Number is just right, but it should be a different cohort in the Fall",Just right,40,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Yale,
2022,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,70,74,10,Allows too few students back on campus,Don't know enough to say,15,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Yale,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,80,80,40,Just right,Just right,20,Somewhat well,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,6,Don't know enough to say,
2022,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,68,52,46,Allows too few students back on campus,Too many precautionary measures taken,74,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,2,Cornell,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,75,79,31,Just right,Too few precautionary measures taken,59,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Not enough money provided to off-campus students,4,Yale,
2021,No,No,Extremely likely,Somewhat unlikely,Yes,,Living with Harvard friends,,,85,70,40,Just right,Too few precautionary measures taken,20,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,5,Yale,
2024,No,No,Extremely likely,,,Extremely likely,,,,94,90,41,Allows too few students back on campus,Just right,20,Very poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Don't know enough to say,
2023,Yes,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,81,92,39,Allows too few students back on campus,Don't know enough to say,,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,4,Princeton,
2024,No,No,Extremely likely,,,Extremely likely,,,,80,70,29,Allows too few students back on campus,Just right,10,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,6,Other (please specify),UChicago
2024,No,Yes,Extremely likely,,,Extremely likely,,,,50,60,83,Allows too few students back on campus,Too many precautionary measures taken,15,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,4,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely unlikely,,,,93,90,84,Just right,Just right,5,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,7,Princeton,
2022,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,65,50,70,Just right,Just right,30,Very poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Cornell,
2024,No,Yes,Somewhat likely,,,Somewhat likely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,85,85,Allows too few students back on campus,Just right,40,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,2,Cornell,
2021,No,No,Extremely likely,Extremely unlikely,No,,Personal Apartment/Home (not with Harvard friends),,,65,50,50,Don't know enough to say,Too many precautionary measures taken,10,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Don't know enough to say,
2021,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,61,75,10,Allows too few students back on campus,Too many precautionary measures taken,20,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Yale,
2021,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,80,70,30,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,2,Yale,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,70,65,56,Allows too few students back on campus,Just right,3,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Other (please specify),Brown
2023,No,Yes,Extremely likely,Somewhat likely,No,Somewhat unlikely,Family Home,,,38,74,12,Don't know enough to say,Don't know enough to say,,,,,,,,,,,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,75,65,33,Just right,Just right,10,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Not enough money provided to off-campus students,5,Princeton,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,60,30,30,Just right,Just right,61,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,8,Don't know enough to say,
2023,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,85,75,56,Allows too few students back on campus,Just right,39,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,5,Yale,
2024,No,No,Extremely likely,,,Extremely likely,,,,95,90,50,Allows too few students back on campus,Just right,10,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very well,Agree with the policy,6,Don't know enough to say,
2023,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Travel,70,70,35,Just right,Just right,20,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Policy is not individualized enough,9,Don't know enough to say,
2021,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,30,25,40,Allows too many students back on campus,Just right,16,,,,,,,,,,
2024,No,No,Extremely likely,,,Somewhat likely,,,,90,85,25,Allows too many students back on campus,Too many precautionary measures taken,35,Very well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very well,Agree with the policy,4,Don't know enough to say,
2021,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,,Internship/Industry Work,84,91,16,Don't know enough to say,Too many precautionary measures taken,27,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very well,Agree with the policy,6,Don't know enough to say,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,81,70,30,Don't know enough to say,Just right,10,Very poorly ,Very poorly ,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Don't know enough to say,
2023,No,Yes,Extremely likely,Somewhat unlikely,Yes,,Living with Harvard friends,,,80,80,40,Allows too few students back on campus,Don't know enough to say,10,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,5,Yale,
2024,Yes,Yes,Extremely likely,,,Extremely likely,,,,98,91,40,Allows too few students back on campus,Too many precautionary measures taken,3,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,6,Yale,
2024,No,No,Extremely likely,,,Extremely likely,,,,25,50,70,Allows too few students back on campus,Just right,3,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,,4,,
2024,No,No,Extremely likely,,,Extremely likely,,,,90,76,35,Allows too few students back on campus,Don't know enough to say,25,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,4,Stanford,
2024,No,Yes,Somewhat likely,,,Somewhat likely,,Fall and Spring,Chill at home,81,70,62,Allows too few students back on campus,Just right,20,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Very poorly ,Somewhat poorly ,Agree with the policy,5,Yale,
2022,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",,60,60,30,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,10,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,3,Yale,
